document,feed,title,url,pubdate,created
56d62a53c1808113ffb87f1f,56d609d1c180811310e52c06,Can We Use Book Data to Call the Oscar Best Actor and Actress Race?,http://www.goodreads.com/blog/show/620-can-we-use-book-data-to-call-the-oscar-best-actor-and-actress-race,1456270247000,1456876115401
56d86f51c18081104b39adaa,56d609d1c180811310e52c01,An Urban Sort of Loneliness,http://therumpus.net/2016/03/an-urban-sort-of-loneliness/,1457013615000,1457024849901
56d8962bc18081120d8227ed,56d609d1c180811310e52c01,THE BINS:  Gorgo,http://therumpus.net/2016/03/the-bins-gorgo/,1457006439000,1457034795120
56d939bbc1808111c985105f,56d609d1c180811310e52bff,"‘Cities I’ve Never Lived In,’ by Sara Majka",http://rss.nytimes.com/c/34625/f/640314/s/4e0695c6/sc/13/l/0L0Snytimes0N0C20A160C0A30C0A60Cbooks0Creview0Ccities0Eive0Enever0Elived0Ein0Eby0Esara0Emajka0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,1457072890000,1457076667194
56ddce05c1808111c98a2799,56d609d1c180811310e52c0a,"'Charlie Chan Hock Chye' Offers A Heartfelt Take On Aging, Art And History",http://www.npr.org/2016/03/07/469512468/charlie-chan-hock-chye-offers-a-heartfelt-take-on-aging-art-and-history?utm_medium=RSS&utm_campaign=books,1457375220000,1457376773224
56e1fe20c1808111c98f1dc9,56d609d1c180811310e52c01,Graham Nash’s Patience Has (Finally) Broken,http://therumpus.net/2016/03/graham-nashs-patience-has-finally-broken/,1457647255000,1457651232192
56e3481ac1808111c990ab50,56d609d1c180811310e52c01,"Hello, My Name Is Doris",http://therumpus.net/2016/03/hello-my-name-is-doris/,1457733626000,1457735706643
56e461b8c1808111c991d1a4,56d609d1c180811310e52bfe,A Magician for Musicians,https://lareviewofbooks.org/review/a-magician-for-musicians/,1457803828000,1457807800260
56e704e7c1808111c994a284,56d609d1c180811310e52c0b,Seth Rogen and Evan Goldberg to Adapt Where’s Waldo,http://www.adweek.com/galleycat/seth-rogen-evan-goldberg-to-adapt-wheres-waldo/117553,1457979044000,1457980647246
56e715a7c1808111c994b89a,56d609d1c180811310e52c07,Arrangement,http://www.theparisreview.org/blog/2016/03/14/arrangement/,1457982398000,1457984935501
56e8466dc1808103936f748d,56e71c0bc180817118d3c9fc,Save the Date – Florida Antiquarian Book Fair March 11-13,http://www.abebooks.com/blog/index.php/2016/03/08/save-the-date-florida-antiquarian-book-fair-march-11-13/,1457465279000,1458062957811
56e846dcc1808103936f7526,56e71c0bc180817118d3ca07,Book Links: Notorious RBG’s memoir; writers on defining pop songs; retirees love e-reading,http://www.quillandquire.com/book-links/2016/03/11/book-links-notorious-rbgs-memoir-writers-on-defining-pop-songs-retirees-love-e-reading/,1457714235000,1458063068676
56e84718c1808103936f757e,56e71c0bc180817118d3ca0d,Broken (The Extrahuman Union #1): Susan Jane Bigelow on Inspirations & Influences,http://feedproxy.google.com/~r/TheBookSmugglers/~3/w8GdiguvNyU/broken-extrahuman-union-1-susan-jane-bigelow-inspirations-influences.html,1458014508000,1458063128675
56e84813c1808103936f7686,56e71c0bc180817118d3ca2e,Re-reading Little Women,http://www.nataliasylvester.com/re-reading-little-women/,1452723033000,1458063379594
56e84833c1808103936f769f,56e71c0bc180817118d3ca32,A guide to Southern California for classical art enthusiasts [interactive map],http://feedproxy.google.com/~r/oupblog/~3/iPPHd8k4dIs/,1457951453000,1458063411947
56e963e9c1808111e05f5b59,56d609d1c180811310e52c01,This Week in Posivibes: Anna Wise,http://therumpus.net/2016/03/this-week-in-posivibes-anna-wise/,1458075618000,1458136041838
56ec4421c180814c03c8cef9,56d609d1c180811310e52c0b,Cassandra Clare and Charles Duhigg Debut on the Indie Bestseller List,http://www.adweek.com/galleycat/cassandra-clare-and-charles-duhigg-debut-on-the-indie-bestseller-list/117781,1458320706000,1458324513543
